orderId,Account,Order ID,B/S,Contract,Product,Product Description,avgPrice,filledQty,Fill Time,lastCommandId,Status,_priceFormat,_priceFormatType,_tickSize,spreadDefinitionId,Version ID,Timestamp,Date,Quantity,Text,Type,Limit Price,Stop Price,decimalLimit,decimalStop,Filled Qty,Avg Fill Price,decimalFillAvg,Venue,Notional Value,Currency
13330018167,1158341,13330018167, Sell,MNQH6,MNQ,Micro E-mini NASDAQ-100,24591.25,1,03/03/2026 15:46:21,13330018167, Filled,-2,0,0.25,,13330018167,03/03/2026 15:46:04,3/3/26,1,Tradingview, Limit,24591.25,,24591.25,,1,24591.25,24591.25,,"49,182.50",USD
13330018170,1158341,13330018170, Buy,MNQH6,MNQ,Micro E-mini NASDAQ-100,,,,13330018188, Canceled,-2,0,0.25,,13330018188,03/03/2026 15:46:21,3/3/26,1,Tradingview, Limit,24369.50,,24369.5,,,,,,,USD
13330018172,1158341,13330018172, Buy,MNQH6,MNQ,Micro E-mini NASDAQ-100,,,,13330018224, Canceled,-2,0,0.25,,13330018224,03/03/2026 16:22:08,3/3/26,1,Tradingview, Stop,,24443.50,,24443.5,,,,,,USD
13330018237,1158341,13330018237, Buy,MNQH6,MNQ,Micro E-mini NASDAQ-100,24389.5,1,03/03/2026 16:25:15,13330018237, Filled,-2,0,0.25,,13330018237,03/03/2026 16:25:15,3/3/26,1,Exit, Market,,,,,1,24389.50,24389.5,,"48,779.00",USD
